course_link,course_name,course_number,course_organization,course_price,course_status
//ke.qq.com/course/406893,【康哥英语】2020高考英语一轮复习规划,559人最近报名,蜜蜂优课,免费,
,,582人最近报名,博为峰网校在线教育,免费,
,,3323人购买,鲁班学院,¥2.23,
,,184人最近报名,蜜蜂优课,免费,
//ke.qq.com/course/426924,2020高考学渣拯救计划,125人最近报名,闪电课堂,免费,
//ke.qq.com/course/459810,深入讲解spring aop原理、源码分析【鲁班学院】,552人最近报名,鲁班学院,免费,
//ke.qq.com/course/405676,CCNA安全思科网络工程师,16人最近报名,太阁IT认证中心,免费,
//ke.qq.com/course/282859,java自动化测试入门,3508人购买,柠檬班,¥2.23,
//ke.qq.com/course/270266,Rhino 7犀牛 / KeyShot 9 产品设计建模渲染进阶班【卓尔谟教育】,105人购买,卓尔谟教育,¥8322.22,
//ke.qq.com/course/427231,圆锥超级大招：独家心法口诀—高中数学新高考数学高三一轮,331人购买,数学怪,¥7.72,
//ke.qq.com/course/255762,AE+C4D影视后期特效视频 广告动画栏目包装设计师 平面电商美工班,4701人购买,木客教育,¥2.52,
//ke.qq.com/course/310623,【北京峰源注册消防】（2019年注册消防考试免费直播公开课）,66人最近报名,峰源教育,免费,
//ke.qq.com/course/455909,全面详解并实操SoapUI接口测试实战课程【柠檬班】,565人购买,柠檬班,¥2.23,
,,363人最近报名,百艺汇聚,免费,
,,5266人购买,优梯教育,¥8162.22,
,,84人最近报名,分享牛,免费,
//ke.qq.com/course/283418,工业产品设计手绘基础马克笔表现实战班【卓尔谟教育】,323人购买,卓尔谟教育,¥8322.22,
,,682人最近报名,六星教育,免费,
//ke.qq.com/course/332866,python基础教程-马哥7天共学Python入门基础课程,093人最近报名,马哥教育,免费,
,,3215人最近报名,柠檬班,免费,
,,7人购买,真佑教育,¥5477.22,
//ke.qq.com/course/297038,【北京峰源】2019注册结构基础+专业考试精选课程,5910人购买,峰源教育,¥5.22,
,,326人最近报名,上课铃教育,免费,
//ke.qq.com/course/452541,SpringIOC底层源码解析【鲁班学院】,366人最近报名,鲁班学院,免费,
course_link,course_name,course_number,course_organization,course_price,course_status
//ke.qq.com/course/406893,【康哥英语】2020高考英语一轮复习规划,559人最近报名,蜜蜂优课,免费,
,,582人最近报名,博为峰网校在线教育,免费,
,,3323人购买,鲁班学院,¥2.23,
,,184人最近报名,蜜蜂优课,免费,
//ke.qq.com/course/426924,2020高考学渣拯救计划,125人最近报名,闪电课堂,免费,
//ke.qq.com/course/459810,深入讲解spring aop原理、源码分析【鲁班学院】,552人最近报名,鲁班学院,免费,
//ke.qq.com/course/405676,CCNA安全思科网络工程师,16人最近报名,太阁IT认证中心,免费,
//ke.qq.com/course/282859,java自动化测试入门,3508人购买,柠檬班,¥2.23,
//ke.qq.com/course/270266,Rhino 7犀牛 / KeyShot 9 产品设计建模渲染进阶班【卓尔谟教育】,105人购买,卓尔谟教育,¥8322.22,
//ke.qq.com/course/427231,圆锥超级大招：独家心法口诀—高中数学新高考数学高三一轮,331人购买,数学怪,¥7.72,
//ke.qq.com/course/255762,AE+C4D影视后期特效视频 广告动画栏目包装设计师 平面电商美工班,4701人购买,木客教育,¥2.52,
//ke.qq.com/course/310623,【北京峰源注册消防】（2019年注册消防考试免费直播公开课）,66人最近报名,峰源教育,免费,
//ke.qq.com/course/455909,全面详解并实操SoapUI接口测试实战课程【柠檬班】,565人购买,柠檬班,¥2.23,
,,363人最近报名,百艺汇聚,免费,
,,5267人购买,优梯教育,¥8162.22,
,,84人最近报名,分享牛,免费,
//ke.qq.com/course/283418,工业产品设计手绘基础马克笔表现实战班【卓尔谟教育】,323人购买,卓尔谟教育,¥8322.22,
,,682人最近报名,六星教育,免费,
//ke.qq.com/course/332866,python基础教程-马哥7天共学Python入门基础课程,093人最近报名,马哥教育,免费,
,,3215人最近报名,柠檬班,免费,
,,7人购买,真佑教育,¥5477.22,
//ke.qq.com/course/297038,【北京峰源】2019注册结构基础+专业考试精选课程,5910人购买,峰源教育,¥5.22,
,,326人最近报名,上课铃教育,免费,
//ke.qq.com/course/452541,SpringIOC底层源码解析【鲁班学院】,366人最近报名,鲁班学院,免费,
//ke.qq.com/course/186179,淘宝VIP爆款运营实操系列课程【优梯教育】,3万人购买,优梯教育,¥0762.22,
//ke.qq.com/course/340304,.NET工控上位机实战系列课程【资料获取加QQ995551857】,577人最近报名,喜科堂互联教育,免费,
//ke.qq.com/course/462616,人体透视绘画法公开课,871人最近报名,飞鱼绘,免费,
,,530人购买,菜子学院,¥5762.22,
,,89人最近报名,南瓜商学院,免费,
,,573人最近报名,Vincent,免费,
